feature,importance
hdb_bki_active_pil_cnt,0.034532573467490495
days_after_last_request,0.03410085993247542
express_rur_amt_cm_avg,0.03350472047436524
dp_ils_uniq_companies_1y,0.032992576414716666
transaction_category_supermarket_sum_cnt_d15,0.02825820507431663
bki_total_oth_cnt,0.02376695848846305
dp_ils_max_seniority,0.02176848401933438
avg_by_category__amount__sum__cashflowcategory_name__zarubezhnye_finansovye_operatsii,0.021655403321433644
dp_payoutincomedata_payout_avg_prev_year,0.019394909610659185
client_active_flag,0.018914287865844974
dp_ewb_last_organization,0.01724872657884944
blacklist_flag,0.017083969729788352
cntOnnRinCallAvg6m,0.015435261967408591
avg_by_category__amount__sum__cashflowcategory_name__platezhi_cherez_internet,0.014916961880466997
total_sum,0.01360165488461081
loan_cur_amt,0.013409724898445228
hdb_bki_total_micro_cnt,0.011830066307698778
tz_msk_timedelta,0.010035445291491604
acard,0.009809888436658386
dp_ewb_last_employment_position,0.002180024496486221
hdb_bki_total_pil_last_days,0.001580099556175763
hdb_bki_other_active_pil_outstanding,0.0
hdb_bki_total_max_limit,0.0
hdb_bki_total_ip_max_limit,0.0
hdb_bki_total_max_overdue_sum,0.0
dp_ewb_dismissal_due_contract_violation_by_lb_cnt,0.0
dp_ils_cnt_changes_1y,0.0
bki_total_il_max_limit,0.0
hdb_bki_total_pil_max_overdue,0.0
hdb_bki_active_cc_max_outstand,0.0
vert_has_app_ru_tinkoff_investing,0.0
bki_total_max_limit,0.0
ovrd_sum,0.0
nonresident_flag,0.0
vert_has_app_ru_vtb_invest,0.0
vert_has_app_ru_cian_main,0.0
vert_ghost_close_dpay3_last_days,0.0
dp_ils_days_ip_share_5y,0.0
hdb_bki_total_micro_max_overdue,0.0
hdb_bki_total_auto_max_limit,0.0
businessTelSubs,0.0
hdb_bki_total_cc_max_overdue,0.0
hdb_bki_active_pil_max_limit,0.0
hdb_bki_last_product_days,0.0
accountsalary_out_flag,0.0
hdb_bki_other_active_ip_outstanding,0.0
hdb_bki_active_cc_max_overdue,0.0
